     1→     1→---
    91→    91→| 27 | GalaxyWarriors-SFMLGraphics | C++ | 0 | 0 | 36 | 2025-12-12 | 0 | C++ SFML game; no README |
    92→    92→| 28 | nextjs-geist-font-optimization | JavaScript | 0 | 0 | 64 | 2025-08-16 | 0 | Optimization research repo |
    93→    93→| 29 | ammarasadPersonal | — | 0 | 0 | 3 | 2025-08-08 | 2 | Older personal site |
    94→    94→| 30 | AnonymousFacultyReview | — | ? | ? | ? | (empty) | 0 | Empty/archived |
    95→    95→
    96→    96→**Totals**: 4 stars (3 on gcr-resources-fetch, 1 on Drama-Ghar), 0 forks across all repos, 1,251 total commits across the 29 measurable repos.
    97→    97→
    98→    98→---
    99→    99→
   100→   100→## 3. Top 4 Projects (Resume Projects) — Deep Dive
   101→   101→
   102→   102→### 3.1 Exam-Table — *"FAST Isb Utilities"*
   103→   103→
   104→   104→| Attribute | Value |
   105→   105→|---|---|
   106→   106→| **Repo** | github.com/ammarasad2005/Exam-Table |
   107→   107→| **Live demo** | https://fast-nuces.vercel.app/ |
   108→   108→| **Commits** | 376 (most of any repo) |
   109→   109→| **Last activity** | 2026-06-29 (today — actively shipped) |
   110→   110→| **README** | 830 lines / 37 KB — README quality 5/5 |
   111→   111→| **License** | MIT (has LICENSE file) |
   112→   112→| **Stars / Forks** | 0 / 0 |
   113→   113→
   114→   114→**Tech stack** (from `package.json`):
   115→   115→- Next.js 14 (App Router) + React 18 + TypeScript 5
   116→   116→- Supabase (PostgreSQL) + raw `pg` driver
   117→   117→- shadcn/ui pattern (25+ `@radix-ui/*` packages, `class-variance-authority`, `clsx`, `tailwind-merge`)
   118→   118→- react-hook-form + zod (form validation)
   119→   119→- framer-motion (animations), recharts (charts), embla-carousel, vaul (drawer), cmdk (command palette), sonner (toasts)
   120→   120→- xlsx + exceljs (Excel parsing), file-saver
   121→   121→- nodemailer + resend (transactional email)
   122→   122→- react-day-picker, next-themes (dark mode)
   123→   123→- Playwright (devDep — testing infra available)
   124→   124→
   125→   125→**Repository structure** (top-level): `src/app/`, `src/components/`, `src/lib/`, `public/`, `public/data/`, `scripts/` (Python), `.github/workflows/`, `all_courses_schedule.py`, `tailwind.config.ts`, `vercel.json`, `LICENSE`.
   126→   126→
   127→   127→**README quality**: Exceptional. Includes logo, live-demo badge, tech-stack badges, full TOC, "The Problem" framing, 14 feature sections with emojis, screenshots, "How It Works" with multiple workflow diagrams, "Tech Stack" section, "Project Structure" section, "Routes" section, "Getting Started" with prerequisites/installation, "Available Scripts", and a "Data Pipeline" section explaining exam/timetable pipelines.
   128→   128→
   129→   129→**Notable engineering patterns**:
   130→   130→- **CI/CD with cron**: Two GitHub Actions workflows.
   131→   131→  - `update-timetable.yml`: cron `'0 * * * *'` (hourly). Checks out repo with `MAIN_PUSH_TOKEN`, sets up Python 3.11, runs `scripts/run_parser.py` with secrets for `NEXT_PUBLIC_SUPABASE_URL`, `NEXT_PUBLIC_SUPABASE_ANON_KEY`, `GOOGLE_SHEETS_API_KEY`, `GROQ_API_KEY`. Copies `timetable.json` to `public/data/`. Auto-commits only if data changed.
   132→   132→  - `update-events.yml`: cron `'0 6 * * * 1'` (weekly Monday 06:00 UTC). Scrapes SLATE (student portal) using `requests` + `beautifulsoup4` + `lxml`, uses GROQ for AI-assisted parsing, auto-commits `slate_calendar_events.json` + `student_events.json`.
   133→   133→- **Hybrid Python + TypeScript stack**: Python scripts scrape + parse; TypeScript serves Next.js frontend. Pre-build hook (`ts-node scripts/parse-excel.ts`) runs in `npm run dev` and `npm run prebuild`.
   134→   134→- **14 features** (per README): Timetable Viewer, Exam Schedule Finder, Custom Exams Builder, Custom Timetable Builder, **Timetable Optimizer** (clash-free section combinations), Free Rooms Finder, Faculty Directory, Campus Events Calendar, Semester Schedule, **Lost & Found** (AI-augmented), Configuration & Home Page, Dark Mode & Theming, Keyboard Shortcuts, Export Options.
   135→   135→- **Production-grade UX**: Custom typing animation intro, feature-card abstraction, framer-motion `layoutId="stage-light"` with spring physics on the desktop navbar (cone + beam lighting effect), theme-aware gradients (`bg-gradient-to-r from-amber-500/40 via-yellow-200/70 to-amber-500/40`), 100dvh mobile layouts.
   136→   136→- **Strong typing**: Custom type defs (`RawTimetableJSON`, `TimetableEntry`, `SummerCourseCatalogEntry`), `flattenTimetable` lib function, typed SVG icon components inline.
   137→   137→- **AI integration**: Groq API for parsing lost-and-found descriptions and event data.
   138→   138→- **Vercel deployment** with `vercel.json` + `@vercel/analytics`.
   139→   139→
   140→   140→**Strengths to highlight**:
   141→   141→- 376 commits over many months — sustained iteration.
   142→   142→- Real users (FAST NUCES Islamabad students — 4 batches, 11 departments).
   143→   143→- Production CI/CD with auto-data-pipeline.
   144→   144→- 14-feature scope shows product-thinking, not just coding.
   145→   145→- README is genuinely excellent — would impress any reviewer.
   146→   146→
   147→   147→**Weaknesses / gaps**:
   148→   148→- No test files visible despite Playwright in devDeps (no `__tests__/`, no `*.test.ts`).
   149→   149→- 0 stars — no virality / marketing.
   150→   150→- Heavy commit log of automated `chore: auto-update timetable.json` can dilute perceived human effort (worth explaining in portfolio).
   151→   151→- Default branch is `main` (good), but `next.config.js` is JS not TS (minor).
   152→   152→
   153→   153→---
   154→   154→
   155→   155→### 3.2 Drama-Ghar — *"DramaGhar"*
   156→   156→
   157→   157→| Attribute | Value |
   158→   158→|---|---|
   159→   159→| **Repo** | github.com/ammarasad2005/Drama-Ghar |
   160→   160→| **Live demo** | https://drama-ghar.vercel.app/ |
   161→   161→| **Commits** | 32 |
   162→   162→| **Last activity** | 2026-05-20 |
   163→   163→| **README** | 423 lines / 22 KB — quality 5/5 |
   164→   164→| **Co-built with** | Hanzlah Ch (https://github.com/HanzlahCh) |
   165→   165→| **Stars / Forks** | 1 / 0 |
   166→   166→
   167→   167→**Tech stack** (from `package.json`):
   168→   168→- Next.js 15 (App Router + API Routes) + React 19 + TypeScript 5.9
   169→   169→- MongoDB Atlas via Mongoose
   170→   170→- Supabase (cited in README for EPG data)
   171→   171→- bcryptjs (password hashing), jose (JWT signing/verifying) — proper auth crypto
   172→   172→- @google/genai (Google Gemini SDK) — AI integration
   173→   173→- react-hook-form + zod, react-youtube (video embedding)
   174→   174→- nodemailer (transactional email), date-fns + date-fns-tz (timezone-aware scheduling)
   175→   175→- Tailwind CSS 4.1, tw-animate-css, motion (animations)
   176→   176→- @radix-ui dialog/separator/slot/tabs (subset of shadcn/ui)
   177→   177→- firebase-tools (devDep — possibly used for hosting experiments)
   178→   178→
   179→   179→**Repository structure** (top-level): `app/` (App Router pages + API routes), `components/`, `lib/`, `models/` (Mongoose schemas), `public/`, `next.config.ts`, `tsconfig.json`. 26 top-level entries.
   180→   180→
   181→   181→**README quality**: Very detailed. Includes contributors, TOC, full "Project Overview", Tech Stack table, "System Architecture" section, **"Feature Breakdown & Self-Evaluation"** with 11 sub-criteria scored (Functionality 25/25, Password Encryption 20/20, RBAC 25/25, Form Validation 15/15, etc.) — suggests this was a graded course project. Includes Database Models, API Routes, Pages & Screens, Technical Setup, and a Self-Evaluation Summary Table.
   182→   182→
   183→   183→**Notable engineering patterns**:
   184→   184→- **RBAC**: Three roles (user / admin / guest) with explicit role-based access control on admin dashboard, content management, account management. README explicitly calls out RBAC scoring.
   185→   185→- **Password encryption**: bcryptjs with proper salt rounds.
   186→   186→- **JWT session management**: jose library for signing/verifying JWTs.
   187→   187→- **Guest sessions**: Explicit "remember me" + social footer + guest name prompt (visible in commit log: `feat: implement guest session, explicit remember me, and social footer`).
   188→   188→- **200+ dramas catalog** across 7 channels (ARY Digital, HUM TV, Geo Entertainment, Green Entertainment, Express Entertainment, etc.).
   189→   189→- **Live EPG** (Electronic Program Guide) grid with auto-scroll to current time.
   190→   190→- **Watch analytics**: Per-episode progress tracking + today/weekly/lifetime watch-time in hours.
   191→   191→- **YouTube streaming**: react-youtube for embedded playback.
   192→   192→- **Timezone-aware scheduling**: date-fns-tz for PKT (Asia/Karachi) handling.
   193→   193→- **Self-evaluation section** in README — academic framing with rubric.
   194→   194→
   195→   195→**Strengths to highlight**:
   196→   196→- Most modern stack of any resume project (Next.js 15 + React 19 + Tailwind 4).
   197→   197→- Full-stack depth: auth + RBAC + crypto + DB + AI + email + timezone.
   198→   198→- Clear collaborative provenance (co-built with Hanzlah Ch — shows teamwork).
   199→   199→- README doubles as both documentation and a graded self-evaluation (good talking point).
   200→   200→
   201→   201→**Weaknesses / gaps**:
   202→   202→- **Last commit message is literally "Final Commit"** (2026-05-20) — suggests project may be paused/abandoned. Worth re-engaging before portfolio launch.
   203→   203→- `package.json` `name` is `"ai-studio-applet"` (leftover from Google AI Studio scaffold) — should be renamed to `dramaghar`.
   204→   204→- Mongoose 9.6.2 in deps (this version doesn't exist publicly — likely a typo or preview; production Mongoose is at v8.x).
   205→   205→- 1 star only.
   206→   206→- No CI/CD, no tests.
   207→   207→
   208→   208→---
   209→   209→
   210→   210→### 3.3 gcr-resources-fetch — *"GCR Fetch"*
   211→   211→
   212→   212→| Attribute | Value |
   213→   213→|---|---|
   214→   214→| **Repo** | github.com/ammarasad2005/gcr-resources-fetch |
   215→   215→| **Live demo** | (No public landing — extension runs in-browser; backend at gcr-fetch-backend.vercel.app) |
   216→   216→| **Commits** | 32 |
   217→   217→| **Last activity** | 2026-06-06 (recently added Firefox support) |
   218→   218→| **README** | 324 lines / 17 KB — quality 5/5 |
   219→   219→| **License** | MIT |
   220→   220→| **Stars / Forks** | **3 / 0** (most stars of any repo) |
   221→   221→
   222→   222→**Tech stack**:
   223→   223→- Chrome Extension **Manifest V3** (vanilla JS, no build step)
   224→   224→- Cross-browser: Chrome + Firefox (`browser_specific_settings.gecko.id = "gcr-fetch@ammarasad.com"`, `strict_min_version: "109.0"`)
   225→   225→- OAuth 2.0 via `chrome.identity.launchWebAuthFlow`
   226→   226→- Vercel Serverless backend (`gcr-fetch-backend.vercel.app`) for token exchange — keeps `CLIENT_SECRET` server-side
   227→   227→- JSZip (vendored at `lib/jszip.min.js`)
   228→   228→- 8 Google API scopes (least-privilege: `classroom.courses.readonly`, `classroom.coursework.me.readonly`, `classroom.courseworkmaterials.readonly`, `classroom.announcements.readonly`, `drive.readonly`, `drive.file`, `email`, `profile`)
   229→   229→
   230→   230→**Repository structure** (top-level): `background.js` (367 lines, MV3 service worker), `content.js` (611 lines, injected on classroom.google.com), `manifest.json` (72 lines), `sidebar/sidebar.html` + `sidebar.css` + `sidebar.js`, `lib/fetcher.js`, `lib/zipper.js`, `lib/jszip.min.js`, `icons/`, `LICENSE`. 10 top-level entries.
   231→   231→
   232→   232→**README quality**: Excellent. Opens with a vivid "Problem" framing (the pain of manually downloading resources during exam season), "Quick Install Guide (For Users)" + "Developer Setup & Self-Hosting" split (audience-aware), "Overview" explaining the hybrid detection approach, "Key Features" table, "Hybrid Resource Detection" explanation, "External Resources Dashboard" (HTML generator feature), installation instructions, MIT license. Recently restructured (visible in commits: "docs: restructure installation instructions for users vs developers").
   233→   233→
   234→   234→**Notable engineering patterns**:
   235→   235→- **Hybrid resource detection**: Combines DOM scraping (finds visible resources) with Google Classroom API (finds hidden ones). This dual approach is a real engineering decision worth showcasing.
   236→   236→- **OAuth 2.0 done right**: `CLIENT_SECRET` never ships in the extension — it lives on the Vercel backend. Tokens stored in `chrome.storage.local` (sandboxed). 2-minute expiry buffer for proactive refresh. Detailed security comments in `background.js`:
   237→   237→  > "Security: CLIENT_SECRET never appears here — it lives on the Vercel backend only. Tokens are stored in chrome.storage.local (sandboxed to this extension). All API proxying enforces an HTTPS-only, Google-domain allowlist. No tokens are ever logged."
   238→   238→- **Message-router pattern** in `background.js`: Single `chrome.runtime.onMessage` listener dispatches to `GET_AUTH_TOKEN`, `LAUNCH_AUTH_FLOW`, `FETCH_WITH_AUTH`, `SIGN_OUT`, `GET_USER_INFO` handlers.
   239→   239→- **Cross-browser compatibility**: Firefox detection via `typeof browser !== 'undefined'` + User-Agent, different `REDIRECT_URI` for Firefox (`http://127.0.0.1/mozoauth2/...`) vs Chrome (`https://${EXTENSION_ID}.chromiumapp.org`).
   240→   240→- **External Resources Dashboard**: Generates a polished interactive HTML file (with search/filter/copy) included in the ZIP for non-downloadable resources (YouTube links, Forms, Drive folders, external URLs). This is a delightful UX touch.
   241→   241→- **Web-accessible-resources** scoped to `classroom.google.com/*` only.
   242→   242→- **Recent commits show active maintenance**: "Add Firefox extension support", "Improve CORS handling and Firefox browser detection", "Add Vercel backend URL to manifest host_permissions", "Fix SyntaxError by removing duplicate origin declaration in backend" (all 2026-06-06).
   243→   243→
   244→   244→**Strengths to highlight**:
   245→   245→- **Most popular repo** (3 stars — small but meaningful).
   246→   246→- Production MV3 extension with proper OAuth — a niche, hard-to-fake skill.
   247→   247→- Cross-browser (Chrome + Firefox) is rare among students.
   248→   248→- Excellent README that frames the user pain vividly.
   249→   249→- Security-first design with backend proxy pattern.
   250→   250→- Active recent maintenance.
   251→   251→
   252→   252→**Weaknesses / gaps**:
   253→   253→- No tests.
   254→   254→- No CI/CD.
   255→   255→- Vanilla JS (no TypeScript) — slightly inconsistent with the rest of his TypeScript-heavy portfolio.
   256→   256→- 3 stars is still very low — could be marketed more.
   257→   257→
   258→   258→---
   259→   259→
   260→   260→### 3.4 WayFinder — *"Wayfinder"*
   261→   261→
   262→   262→| Attribute | Value |
   263→   263→|---|---|
   264→   264→| **Repo** | github.com/ammarasad2005/WayFinder |
   265→   265→| **Live demo** | https://wayfinder-app-gray.vercel.app/ |
   266→   266→| **Commits** | 5 |
   267→   267→| **Last activity** | 2026-06-10 |
   268→   268→| **README** | **Default `create-next-app` boilerplate (37 lines, 1.4 KB) — quality 0/5** |
   269→   269→| **Stars / Forks** | 0 / 0 |
   270→   270→
   271→   271→**Tech stack** (from `package.json` at `wayfinder-app/package.json`):
   272→   272→- **Next.js 16.2.7** (most recent Next.js version of any repo) + React 19.2.4 + TypeScript 5
   273→   273→- **next-auth** (`^4.24.14`) — full authentication
   274→   274→- **@upstash/redis** (`^1.38.0`) — serverless Redis for caching/rate-limiting
   275→   275→- **rate-limiter-flexible** (`^11.2.0`) — production rate limiting
   276→   276→- Minimal dependencies otherwise — very lean codebase
   277→   277→
   278→   278→**Repository structure** (under `wayfinder-app/`): `app/` (with `api/`, `home/`, `place/`, `profile/`, `saved/`, `providers.tsx`, `layout.tsx`, `page.tsx`, `globals.css`), `components/` (BottomNav, MapEmbed, PlaceCard, SearchBar, WelcomeScreen — each with co-located `.module.css`), `lib/` (`google-maps.ts`, `storage.ts`, `yango-handoff.ts`), `next.config.ts`, `tsconfig.json`, `eslint.config.mjs`. 11 top-level entries.
   279→   279→
   280→   280→**README quality**: **CRITICAL GAP** — the README is the unmodified `create-next-app` boilerplate ("This is a Next.js project bootstrapped with create-next-app… Open http://localhost:3000…"). **Must be replaced before portfolio launch.**
   281→   281→
   282→   282→**Notable engineering patterns** (read directly from source):
   283→   283→- **Security headers in `next.config.ts`** — comprehensive and production-grade:
   284→   284→  - `X-Frame-Options: DENY` (clickjacking)
   285→   285→  - `X-Content-Type-Options: nosniff` (MIME sniffing)
   286→   286→  - `Referrer-Policy: strict-origin-when-cross-origin`
   287→   287→  - `Permissions-Policy: camera=(), microphone=(), payment=(), usb=()` (with note: "geolocation intentionally omitted — we use it on the client")
   288→   288→  - `Strict-Transport-Security: max-age=63072000; includeSubDomains; preload` (HSTS)
   289→   289→  - **Full Content-Security-Policy** with explicit allowlists per directive (`default-src`, `script-src`, `style-src`, `font-src`, `img-src`, `connect-src`, `frame-src`, `frame-ancestors 'none'`, `object-src 'none'`, `base-uri 'self'`)
   290→   290→  - Thoughtful inline comments: *"TODO(security): Tighten nonce-based CSP before production launch. Maps JS API requires unsafe-eval for its runtime; this is a known Google Maps limitation."*
   291→   291→  - This is **the most security-conscious code in his entire portfolio**.
   292→   292→- **NextAuth.js session management** with proper loading states.
   293→   293→- **First-visit onboarding flow**: `hasVisited()` + `markVisited()` localStorage helpers gate a `WelcomeScreen` for first-time visitors; returning guests go straight to `/home`.
   294→   294→- **Mobile-first UX**: `100dvh` (dynamic viewport height), BottomNav with co-located CSS modules, `viewport.maximumScale: 1, userScalable: false` (prevents zoom on mobile).
   295→   295→- **Theming via CSS custom properties**: `var(--surface-0)` for dark mode.
   296→   296→- **Yango ride-hailing deep-link integration** (`lib/yango-handoff.ts`) — Pakistan-specific ride-hailing service. Commit log shows careful param alignment: `"feat(yango): align redirect URL parameters and fallback with official…"`, `"fix: omit starting coordinates in Yango deep link to prevent tariff l…"` (interesting — omitting start coords to prevent tariff leakage).
   297→   297→- **Google Maps intelligence** (`lib/google-maps.ts`) — places photo proxy, static map fallback, profile photos.
   298→   298→- **OpenGraph + metadata** with proper title/description/keywords/authors/icons.
   299→   299→- **Skeleton loading** with themed dark surface.
   300→   300→- **PR-based workflow**: Commit log shows "Merge pull request #1 from ammarasad2005/main" — proper Git Flow even on a solo project.
   301→   301→
   302→   302→**Strengths to highlight**:
   303→   303→- **Bleeding-edge stack**: Next.js 16 + React 19.
   304→   304→- **Security-first mindset** — the CSP/HSTS/Permissions-Policy block is genuinely impressive and rare for a student.
   305→   305→- **Pakistan-specific product thinking**: Yango + Google Maps integration for Islamabad.
   306→   306→- **Mobile-first**: dynamic viewport, bottom nav, no-zoom.
   307→   307→- **Lean dependencies** — no bloat.
   308→   308→
   309→   309→**Weaknesses / gaps**:
   310→   310→- **README is unchanged from `create-next-app`** — must be fixed. This is the #1 portfolio blocker for WayFinder.
   311→   311→- Only 5 commits — the codebase exists but is thin.
   312→   312→- The actual app code lives in a `wayfinder-app/` subdirectory of the repo (the root has only `.gitignore` + `wayfinder-app/`) — confusing repo structure.
   313→   313→- Default branch is `master` (inconsistent with his other repos on `main`).
   314→   314→- No tests, no CI/CD.
   315→   315→- 0 stars.
   316→   316→
   317→   317→---
   318→   318→
   319→   319→## 4. Coding Style & Patterns
   320→   320→
   321→   321→**Language usage** (aggregated across 30 repos, weighted by per-repo %):
   322→   322→- TypeScript 49.6% (in 15 repos)
   323→   323→- JavaScript 25.0% (in 15 repos)
   324→   324→- Python 9.5% (in 6 repos)
   325→   325→- CSS 6.9% (in 19 repos)
   326→   326→- HTML 4.3% (in 6 repos)
   327→   327→- C++ 4.0% (in 1 repo — GalaxyWarriors-SFMLGraphics)
   328→   328→- PLpgSQL 0.5% (in 2 repos — Supabase functions)
   329→   329→
   330→   330→**File naming conventions**:
   331→   331→- Components: PascalCase (`Navbar.tsx`, `Header.tsx`, `PlaceCard.tsx`, `WelcomeScreen.tsx`)
   332→   332→- Routes (Next.js App Router): `page.tsx` / `layout.tsx` / `route.ts` (kebab-case dirs)
   333→   333→- Lib modules: kebab-case (`google-maps.ts`, `timetable-filter.ts`, `yango-handoff.ts`)
   334→   334→- Styles: co-located CSS Modules (`PlaceCard.module.css`) — WayFinder uses these; Exam-Table and Drama-Ghar use Tailwind exclusively
